,date,DP_lag,exret
110,1935-08-31,0.0037937899999999983,0.02597417
111,1935-09-30,0.004347500000000001,0.06933941
112,1935-10-31,0.0015197400000000055,0.052671680000000005
113,1935-11-30,0.004973500000000006,0.046826219999999995
114,1935-12-31,0.004430819999999995,0.06945885
115,1936-01-31,0.001810160000000005,0.025302420000000003
116,1936-02-29,0.0031719400000000016,0.008053022
117,1936-03-31,0.0033716760000000005,-0.08168064000000001
118,1936-04-30,0.0011649299999999946,0.05184289
119,1936-05-31,0.004555360000000001,0.02437073
120,1936-06-30,0.003916910000000003,0.06585436
121,1936-07-31,0.0016283500000000006,0.01075011
122,1936-08-31,0.004345179,0.01179897
123,1936-09-30,0.003936595999999999,0.06978621
124,1936-10-31,0.0015176500000000093,0.03275445
125,1936-11-30,0.008835800000000001,0.00279573
126,1936-12-31,0.006181055,0.0331575
